scenario,scale,architecture,regime,real_pct,synthetic_pct,eval_domain,eval_dataset,metric,class,seed,selected_seed,summary_value,summary_std,baseline_value,baseline_regime,delta
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,cyclist,,False,0.12502625681693416,0.00044301859777127523,0.1580094689011526,synthetic_only,-0.03298321208421845
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,pedestrian,,False,0.1352357180060765,0.0011685158104166717,0.1390616774711704,synthetic_only,-0.0038259594650938977
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_1,all,,False,0.037078452238982866,6.084392681619473e-05,0.038624275436014495,synthetic_only,-0.0015458231970316288
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_10,all,,False,0.18917590960359928,0.0004313389971352652,0.2000808773341121,synthetic_only,-0.010904967730512805
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_100,all,,False,0.2635307669819886,0.00035633934853807997,0.27926621637497107,synthetic_only,-0.015735449392982492
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50,all,,False,0.4774077738498028,0.0010639231765818865,0.18173503636296892,synthetic_only,0.29567273748683387
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50,car,,False,0.7153518919394916,0.002135769602788104,0.33129119984528266,synthetic_only,0.3840606920942089
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50,cyclist,,False,0.2817632116608127,0.006031533645501255,0.06298551633039473,synthetic_only,0.21877769533041797
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50,pedestrian,,False,0.4351082179491043,0.0038961020158908015,0.1509283929132293,synthetic_only,0.284179825035875
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50_95,all,,False,0.21869857012404018,0.0012870546983274227,0.08272704297805866,synthetic_only,0.1359715271459815
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50_95,car,,False,0.38486701483122715,0.000666832384549131,0.16089382840613536,synthetic_only,0.22397318642509179
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50_95,cyclist,,False,0.1147965946653311,0.0038425928684404265,0.026165054740922733,synthetic_only,0.08863153992440836
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50_95,pedestrian,,False,0.15643210087556222,0.0004935575443374497,0.061122245787117925,synthetic_only,0.0953098550884443
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_75,all,,False,0.17180623914122492,0.0018978441630271542,0.06625567478785617,synthetic_only,0.10555056435336875
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_75,car,,False,0.36774503317830914,0.001341205428299667,0.14246602630058855,synthetic_only,0.2252790068777206
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_75,cyclist,,False,0.07300796173745473,0.006093175060171731,0.017270310053056865,synthetic_only,0.05573765168439787
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_75,pedestrian,,False,0.0746657225079108,0.0010060915534190285,0.03903068800992307,synthetic_only,0.03563503449798773
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AR_1,all,,False,0.09055370846180215,0.00127497879959958,0.045357936662387466,synthetic_only,0.04519577179941468
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AR_10,all,,False,0.27081158465901184,0.002795270521175884,0.12861226409618384,synthetic_only,0.142199320562828
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AR_100,all,,False,0.31962894436186146,0.003261947143142169,0.15541363778681141,synthetic_only,0.16421530657505004
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50,all,,False,0.4013194662662311,0.0003968116403414554,0.42508814286996804,synthetic_only,-0.023768676603736938
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50,car,,False,0.5530485185506934,0.003258358205863834,0.5792128411952718,synthetic_only,-0.026164322644578464
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50,cyclist,,False,0.31914836821612363,0.0010024762775922421,0.3486894166421013,synthetic_only,-0.029541048425977656
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50,pedestrian,,False,0.33176151203187637,0.004071231505249558,0.347362170772531,synthetic_only,-0.015600658740654638
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50_95,all,,False,0.21122487340991492,0.00048173653280558434,0.2340428678484835,synthetic_only,-0.02281799443856858
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50_95,car,,False,0.3317600461320966,0.0017926313070648057,0.35862394508906853,synthetic_only,-0.026863898956971943
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50_95,cyclist,,False,0.14802452759503928,0.0006186541511552113,0.17658562920135212,synthetic_only,-0.02856110160631284
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,,False,0.15389004650260893,0.0008977148386375762,0.16691902925502977,synthetic_only,-0.013028982752420842
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_75,all,,False,0.19189736691641066,0.0004310237722683811,0.2251906067182797,synthetic_only,-0.033293239801869046
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_75,car,,False,0.3401308238327158,0.0006954046549139679,0.378500673782516,synthetic_only,-0.038369849949800194
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_75,cyclist,,False,0.11357459084841799,0.0006280433762287307,0.1580094689011526,synthetic_only,-0.04443487805273462
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_75,pedestrian,,False,0.12198668606809822,0.0009693345577733421,0.1390616774711704,synthetic_only,-0.017074991403072184
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AR_1,all,,False,0.036609438687031065,0.0001314471705604786,0.038624275436014495,synthetic_only,-0.00201483674898343
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AR_10,all,,False,0.18486820889940592,0.00037867872935704207,0.2000808773341121,synthetic_only,-0.015212668434706172
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AR_100,all,,False,0.25926200127887816,0.0004951890541548913,0.27926621637497107,synthetic_only,-0.020004215096092903
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50,all,,False,0.4870774362961748,0.0026205265385013956,0.18173503636296892,synthetic_only,0.3053423999332059
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50,car,,False,0.7123753190398295,0.003082339721594521,0.33129119984528266,synthetic_only,0.3810841191945469
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50,cyclist,,False,0.29719370862060673,0.0055362495366043304,0.06298551633039473,synthetic_only,0.234208192290212
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50,pedestrian,,False,0.45166328122808813,0.005820628577394834,0.1509283929132293,synthetic_only,0.30073488831485884
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50_95,all,,False,0.21669701610629621,0.0012413970046619691,0.08272704297805866,synthetic_only,0.13396997312823755
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50_95,car,,False,0.38153337450562214,0.0014612455361396434,0.16089382840613536,synthetic_only,0.22063954609948677
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50_95,cyclist,,False,0.11385350349984791,0.0003670749610694219,0.026165054740922733,synthetic_only,0.08768844875892517
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50_95,pedestrian,,False,0.1547041703134186,0.0026328894042117437,0.061122245787117925,synthetic_only,0.09358192452630068
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_75,all,,False,0.15858756474667113,0.003698112096254527,0.06625567478785617,synthetic_only,0.09233188995881496
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_75,car,,False,0.36119738090874304,0.002380906165228399,0.14246602630058855,synthetic_only,0.2187313546081545
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_75,cyclist,,False,0.0543191300627118,0.005931457954779859,0.017270310053056865,synthetic_only,0.03704882000965494
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_75,pedestrian,,False,0.0602461832685586,0.0031089838260322787,0.03903068800992307,synthetic_only,0.02121549525863553
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AR_1,all,,False,0.08580625160195397,0.001072442657611861,0.045357936662387466,synthetic_only,0.04044831493956651
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AR_10,all,,False,0.26601524434444074,0.0026880900710052245,0.12861226409618384,synthetic_only,0.1374029802482569
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AR_100,all,,False,0.3133089312061561,0.0008321401423655991,0.15541363778681141,synthetic_only,0.1578952934193447
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50,all,,False,0.15953617503479542,0.001983507123201536,0.42508814286996804,synthetic_only,-0.26555196783517265
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50,car,,False,0.2186296869979156,0.003423651572335648,0.5792128411952718,synthetic_only,-0.3605831541973562
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50,cyclist,,False,0.066570820479631,0.0018130906916558403,0.3486894166421013,synthetic_only,-0.28211859616247026
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50,pedestrian,,False,0.1934080176268397,0.0018335641153436315,0.347362170772531,synthetic_only,-0.1539541531456913
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50_95,all,,False,0.0674667248279897,0.0008148418460189725,0.2340428678484835,synthetic_only,-0.16657614302049378
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50_95,car,,False,0.10691748759277743,0.0011473403950530744,0.35862394508906853,synthetic_only,-0.2517064574962911
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50_95,cyclist,,False,0.023449195167762404,0.000954164160467423,0.17658562920135212,synthetic_only,-0.15313643403358973
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,,False,0.07203349172342927,0.001020905998267599,0.16691902925502977,synthetic_only,-0.0948855375316005
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_75,all,,False,0.04859353626020643,0.0015107808093548448,0.2251906067182797,synthetic_only,-0.17659707045807327
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_75,car,,False,0.09573469548830323,0.001087461476920551,0.378500673782516,synthetic_only,-0.2827659782942128
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_75,cyclist,,False,0.0097909673622669,0.003305468148146922,0.1580094689011526,synthetic_only,-0.14821850153888572
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_75,pedestrian,,False,0.04025494593004927,0.0006225339156200469,0.1390616774711704,synthetic_only,-0.09880673154112113
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AR_1,all,,False,0.020113259586054064,0.00011533509899679615,0.038624275436014495,synthetic_only,-0.01851101584996043
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AR_10,all,,False,0.07614413691993423,0.0013106939492111358,0.2000808773341121,synthetic_only,-0.12393674041417786
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AR_100,all,,False,0.10329554476485463,0.001342758241573031,0.27926621637497107,synthetic_only,-0.17597067161011642
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50,all,,False,0.18173503636296892,0.0064626911816537,0.18173503636296892,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50,car,,False,0.33129119984528266,0.009687035891622911,0.33129119984528266,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50,cyclist,,False,0.06298551633039473,0.008896828391200883,0.06298551633039473,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50,pedestrian,,False,0.1509283929132293,0.010003483684345138,0.1509283929132293,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50_95,all,,False,0.08272704297805866,0.002286172469301102,0.08272704297805866,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50_95,car,,False,0.16089382840613536,0.003497166522690371,0.16089382840613536,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50_95,cyclist,,False,0.026165054740922733,0.001761569584863157,0.026165054740922733,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50_95,pedestrian,,False,0.061122245787117925,0.0034552148054144494,0.061122245787117925,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_75,all,,False,0.06625567478785617,0.0018176142672948143,0.06625567478785617,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_75,car,,False,0.14246602630058855,0.003868846111818564,0.14246602630058855,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_75,cyclist,,False,0.017270310053056865,0.0017642675317448792,0.017270310053056865,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_75,pedestrian,,False,0.03903068800992307,0.0014356430767017612,0.03903068800992307,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AR_1,all,,False,0.045357936662387466,0.002435424305792305,0.045357936662387466,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AR_10,all,,False,0.12861226409618384,0.004059050767469212,0.12861226409618384,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AR_100,all,,False,0.15541363778681141,0.005596813203317756,0.15541363778681141,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50,all,,False,0.42508814286996804,0.001024561708048993,0.42508814286996804,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50,car,,False,0.5792128411952718,0.00103891063870062,0.5792128411952718,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50,cyclist,,False,0.3486894166421013,0.0022621875924354125,0.3486894166421013,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50,pedestrian,,False,0.347362170772531,0.00032398580489112646,0.347362170772531,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50_95,all,,False,0.2340428678484835,0.0009620757542699434,0.2340428678484835,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50_95,car,,False,0.35862394508906853,0.0008610817630950418,0.35862394508906853,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50_95,cyclist,,False,0.17658562920135212,0.0016100110980511928,0.17658562920135212,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,,False,0.16691902925502977,0.0005715333485847837,0.16691902925502977,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_75,all,,False,0.2251906067182797,0.0010500417650075528,0.2251906067182797,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_75,car,,False,0.378500673782516,0.0024961834737108014,0.378500673782516,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_75,cyclist,,False,0.1580094689011526,0.0005349203068739383,0.1580094689011526,synthetic_only,0.0
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_75,pedestrian,,False,0.1390616774711704,0.000610115377973539,0.1390616774711704,synthetic_only,0.0
