scenario,scale,architecture,regime,real_pct,synthetic_pct,seed,eval_domain,eval_dataset,metric,class,value,selected_seed,source_file
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_100,car,0.5593788521090767,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_50_95,pedestrian,0.2500298054037771,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_50,pedestrian,0.548771324153446,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_75,pedestrian,0.19527727232980138,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_1,pedestrian,0.16661711616054362,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_10,pedestrian,0.354682522828626,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_100,pedestrian,0.39934168613293697,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_50_95,cyclist,0.009790378795666403,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_50,cyclist,0.056269084621177745,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_75,cyclist,0.00029095865271696014,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_1,cyclist,0.03884449907805778,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_10,cyclist,0.0654578979717271,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_100,cyclist,0.06748617086662569,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_50_95,all,0.2585759859982708,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_50,all,0.48541799899097193,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_75,all,0.2525461645243796,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_1,all,0.12597568635474293,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_10,all,0.3338460398713396,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_100,all,0.35960453540558096,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_50_95,car,0.4945738563484642,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
