scenario,scale,architecture,regime,real_pct,synthetic_pct,eval_domain,eval_dataset,metric,class,mean,std,min,max,n
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,0.15389004650260893,0.0008977148386375762,0.1529487921437016,0.1547367349874219,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_75,car,0.3401308238327158,0.0006954046549139679,0.3393473574143884,0.3406749476996999,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_75,cyclist,0.11357459084841799,0.0006280433762287307,0.1128819087282778,0.1141068945196586,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_75,pedestrian,0.12198668606809822,0.0009693345577733421,0.12097732176135,0.1229102921490423,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50,car,0.7123753190398295,0.003082339721594521,0.7094760907850272,0.7156128578871885,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50,cyclist,0.29719370862060673,0.0055362495366043304,0.2922490769296724,0.303175016060864,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50,pedestrian,0.45166328122808813,0.005820628577394834,0.4465218148248158,0.4579828421737,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50_95,car,0.38153337450562214,0.0014612455361396434,0.3804851439053028,0.3832025435046552,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50_95,cyclist,0.11385350349984791,0.0003670749610694219,0.1135519275146787,0.114262231351549,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50_95,pedestrian,0.1547041703134186,0.0026328894042117437,0.152099753783788,0.157364637581499,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_75,car,0.36119738090874304,0.002380906165228399,0.3597198410429199,0.3639439783059304,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_75,cyclist,0.0543191300627118,0.005931457954779859,0.0481207568733784,0.0599416717302202,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_75,pedestrian,0.0602461832685586,0.0031089838260322787,0.0568959704122706,0.0630383554036788,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50,car,0.2186296869979156,0.003423651572335648,0.2163088197265284,0.2225616854299308,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50,cyclist,0.066570820479631,0.0018130906916558403,0.0648454143074441,0.0684604257090193,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50,pedestrian,0.1934080176268397,0.0018335641153436315,0.1915104352957204,0.1951700389797041,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50_95,car,0.10691748759277743,0.0011473403950530744,0.1061381720176095,0.1082349871814493,3
